"","x"
"1","You can’t see the big smile behind my mask, but it’s there. Thanks to @GreenwoodPTA for making @Starbucks a part of… https://t.co/32xkerLqNT"
"2","To the silver car that cut me off the road to get into the Starbucks line girl is there a special going on so I can… https://t.co/16pJmws6ng"
"3","I'm at Starbucks in Apopka, FL https://t.co/VRmJ1Psotz"
"4","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"5",".@tpcollingsworth said: IRAdvocates has been incredibly busy with the Nestle cocoa case &amp; the cobalt case. After De… https://t.co/00c11NNT95"
"6","41 my third therapist gave me a Starbucks gift card when I got into grad school"
"7","I was in Starbucks just now and a cute girl looked at me like I was a hard-core hard-core Trump supporter but in re… https://t.co/BVvyHFLWP5"
"8","I wanted to get Starbucks otw to work, but was nervous about securing a parking spot. Now it’s 10 minutes later and… https://t.co/9WWl7dXFR7"
"9","@kreepykulture Well it does seem weird that someone with an expensive salon dye is working at starbucks"
"10","RT @akidearest: Everyone’s going wild over this Starbucks employee but I just want him to work at the Final Fantasy Cafe in Tokyo now. http…"
"11","@balleralert Why is there a dog loose in the starbucks #healthcode"
"12","RT @JammersMinde: @MamaBea60356952 @drmbrady Same. My son is autistic &amp; to compel him to tell a lie is cruel &amp; unnecessary. To then punish…"
"13","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"14","Feel like a Starbucks customer right now! 😁 https://t.co/LkNk1ZIH7S"
"15","RT @akidearest: Everyone’s going wild over this Starbucks employee but I just want him to work at the Final Fantasy Cafe in Tokyo now. http…"
"16","Yeah well its not the same any way. Its been updated. Now Linus tries to find the most sincere @Starbucks to see th… https://t.co/XBkt3xmjPO"
"17","@jennarmathias My wife partially selected our location based on strategic locations of Dunks and Starbucks on her w… https://t.co/jJiEyADOeg"
"18","Today’s a good fuckin day made it to Starbucks for the first time &amp; im still 10 min early for work 🍂🥳"
"19","@hashtagdion Thank you for standing up for basic normalcy. But it’s so easy to just never go to starbucks, don’t we… https://t.co/OcqQmD2JTu"
"20","And why tf Morrion starting shit in Starbucks this morning.....she wanna argue wit the whole store 😭😭😭😭"
"21","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"22","RT @alysaccessories: Custom order i did a while back!
Friends Starbucks cup
Price:$25 https://t.co/EGz2Ukfpn3"
"23","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"24","@MyManRob1 Rob: Umm... yes... I’d like 200,000 iced coffees...
Starbucks barista: ***just quits on the spot***"
"25","RT @savagesugad: Idk who told me to get this raggedy Starbucks drink but it’s nasty 🤮 https://t.co/DgYYod5Ox6"
"26","RT @forwardarc: Another day, another “Karen” - this time at a Starbucks in California.  She loudly berated a black  barista, called the pan…"
"27","I’m new to #Starbucks believe it or not.  How come a small is a Tall, a medium is a Grande, and a large is a name I… https://t.co/z54To9xUHU"
"28","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"29","On my bad days it’s nice to know that even though we’re on opposite ends of the country both @pocketofcoles and I a… https://t.co/c4h20bmAcB"
"30","gays regularly order iced coffee at starbucks &amp; that gay is me"
"31","RT @LooneyHannah: Morristown NEEDS a Starbucks, like an actual Starbucks building w/ a drive through so I don’t have to keep walking into I…"
"32","good morning to hisoillu and this starbucks drink that’s keeping me awake"
"33","RT @akidearest: Everyone’s going wild over this Starbucks employee but I just want him to work at the Final Fantasy Cafe in Tokyo now. http…"
"34","My goal for later is to master the spinach feta egg white wrap from Starbucks and to actually meal prep cause those are always bomb"
"35","RT @Spotdotph: Have you dropped by?

https://t.co/6k5WB3Umfg"
"36","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"37","RT @forwardarc: Another day, another “Karen” - this time at a Starbucks in California.  She loudly berated a black  barista, called the pan…"
"38","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"39","@CollectCantina @Starbucks That’s awesome! Haha!!! ☕️"
"40","RT @Complex: Starbuck customer throws racist tantrum after being asked to wear mask: “This is America, I don’t have to do what you say. Tru…"
"41","RT @akidearest: Everyone’s going wild over this Starbucks employee but I just want him to work at the Final Fantasy Cafe in Tokyo now. http…"
"42","RT @PinkNews: PinkNews Awards 2020: Nominees revealed for Advertising Campaign of the Year https://t.co/KN9ymmw7lQ"
"43","Door close and Starbucks me."
"44","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"45","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"46","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"47","Idk who told me to get this raggedy Starbucks drink but it’s nasty 🤮 https://t.co/DgYYod5Ox6"
"48","It’s a Starbucks type of morning"
"49","I can’t wait for babe to wake up and get me my starbucks 😭🥰"
"50","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"51","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"52","Trump supporter launches furious rant at Starbucks barista https://t.co/AVzABguZ6X via @Yahoo"
"53","is starbucks not bringing back chestnut praline or is that a winter drink 😩"
"54","RT @_marxlene: Me, You, Hoodies, Starbucks, Target?"
"55","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"56","As I was entering Starbucks to grab my mobile order I held the door open for two women exiting and neither said tha… https://t.co/fg28RO2SGp"
"57","Have a long day of interviews ahead. Went to @Starbucks to get some fuel... and someone paid for my drink 😭❤️ Thank… https://t.co/bWH8FLxW6F"
"58","I woke up to a birthday cake MADE by my boyfriend, shared breakfast with my son and my free Starbucks. All before 7:30 in the morning. 🥰"
"59","@TiffanyToldYou @Starbucks @lyft @AmericanAir @BirdRide @Omnicom is their handle. What Tiffany said."
"60","@Starbucks @Lyft @AmericanAir @BirdRide - you are employing a firm that represents #Turkey a Genocidal regime commi… https://t.co/v3RjKBlL4t"
"61","@runwithskizzers Reynolds 2020: I'm going to get Starbucks."
"62","@su_nnyskies she woke me up dAILY DONT NEED NO STARBUCKS (woo!)"
"63","RT @MrTimDunn: Would 100% support any move to retro-rebrand all Pret, Costa and Starbucks in Britain’s railway stations to just this again…"
"64","Starbucks roasting plant employee claims she was subjected to a racist and hostile work environment https://t.co/AsNzBUh64H"
"65","RT @thehill: Starbucks customer says ""F--- Black Lives Matter"" when asked to put on mask https://t.co/9CTfdlIWhk https://t.co/pRhgs4GrZn"
"66","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"67","RT @Annabllebitch: me: i want Starbucks
me: anything for u princess"
"68","Damn I slept so good. 

I almost want to go to Starbucks and just start working now."
"69","RT @thehill: Starbucks customer says ""F--- Black Lives Matter"" when asked to put on mask https://t.co/9CTfdlIWhk https://t.co/pRhgs4GrZn"
"70","@ughmarsh starbucks"
